"","lc3","lc4","lc7"
"1",23522,4672,165
"2",23374,4743,164
"3",23226,4814,163
"4",23077,4886,162
"5",22928,4958,161
"6",22780,5029,160
"7",22632,5100,159
"8",22483,5172,158
"9",22334,5244,157
"10",22186,5315,156
"11",22038,5386,155
"12",21889,5458,154
"13",21740,5530,153
"14",21592,5601,152
"15",21444,5672,151
"16",21295,5744,150
"17",21146,5816,149
"18",20998,5887,148
"19",20850,5958,147
"20",20701,6030,146
"21",20552,6102,145
"22",20404,6173,144
