4602716,470817,2159184,438052,546169,11953,16743,17530
4590384,497273,2136899,443993,546169,11953,16995,19498
4578052,523729,2114614,449934,546169,11953,17247,21466
4565720,550185,2092329,455875,546169,11953,17499,23434
4553388,576641,2070044,461816,546169,11953,17751,25402
4541056,603097,2047759,467757,546169,11953,18003,27370
4528724,629553,2025474,473698,546169,11953,18255,29338
4516392,656009,2003189,479639,546169,11953,18507,31306
4504060,682465,1980904,485580,546169,11953,18759,33274
4491728,708921,1958619,491521,546169,11953,19011,35242
4479396,735377,1936334,497462,546169,11953,19263,37210
4467064,761833,1914049,503403,546169,11953,19515,39178
4454732,788289,1891764,509344,546169,11953,19767,41146
4442400,814745,1869479,515285,546169,11953,20019,43114
4430068,841201,1847194,521226,546169,11953,20271,45082
4417736,867657,1824909,527167,546169,11953,20523,47050
4405404,894113,1802624,533108,546169,11953,20775,49018
4393072,920569,1780339,539049,546169,11953,21027,50986
4380740,947025,1758054,544990,546169,11953,21279,52954
4368408,973481,1735769,550931,546169,11953,21531,54922
4356076,999937,1713484,556872,546169,11953,21783,56890
4343744,1026393,1691199,562813,546169,11953,22035,58858
